"","venue","show_date","Name","Spotify"
"225","House of Blues",2023-10-22,"Lavi$h","5E4159ttrOB57XW0YdLT32"
"226","Lincoln Hall",2023-10-22,"Loyle Carner","4oDjh8wNW5vDHyFRrDYC4k"
"227","The Salt Shed",2023-10-22,"Chromeo","2mV8aJphiSHYJf43DxL7Gt"
"228","The Salt Shed",2023-10-22,"Ric Wilson","34zbMuAgXxsgqnGXSxWvCR"
"229","Chop Shop",2023-10-22,"Koo Koo Kanga Roo","7BZ3v2GTT5KHVmc9Gk1sRb"
"230","Schubas",2023-10-22,"Mike Viola","7027i6bTkbkTpEmIeEBIHy"
"231","Schubas",2023-10-22,"Dusk","00xKJW1NWATsoC4rvEjMYX"
"232","Byline Bank Aragon Ballroom",2023-10-23,"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz"
"233","The Salt Shed",2023-10-23,"Amyl and the Sniffers","3NqV2DJoAWsjl787bWaHW7"
"234","The Salt Shed",2023-10-23,"Die Spitz","0zfZmpHTu0MlkkNr5KHeXE"
"235","The Vic Theatre",2023-10-24,"Don Broco","1aOt6LvXOV6I8dv1A5Diia"
"236","The Vic Theatre",2023-10-24,"The Home Team","0hp58JplihFjlLstUbKS0x"
"237","Metro",2023-10-24,"Pelican","0Gq06EJlfPumvCdMsnkJFp"
"238","Schubas",2023-10-24,"Mo Welch","6GrwDXiqxmRk4pow2KfWR3"
"239","Metro",2023-10-25,"Nightly","3qDMrpZHtZEtVl5i1l7hP3"
"240","Metro",2023-10-25,"Knox","61S5H9Lxn1PDUvu1TV0kCX"
"241","Metro",2023-10-25,"NIGHTBREAKERS","6n8s4rSE2P1f02YvHMOYFz"
"242","Schubas",2023-10-25,"Michael Minelli","0E1dRyvTHusqYjhbTm2skL"
"243","Schubas",2023-10-25,"Tony22","72WtJOdm9BlSXYm1Xd0Drm"
"244","The Vic Theatre",2023-10-26,"Christine and the Queens","04vj3iPUiVh5melWr0w3xT"
"245","The Vic Theatre",2023-10-26,"BbyMutha","21C9Dbg9CD3Dv8NaD7iW8e"
"246","House of Blues",2023-10-26,"The Dear Hunter","51lE580QM13Anmb3mK2j1e"
"247","House of Blues",2023-10-26,"Delta Sleep","05MlomiA9La0OiNIAGqECk"
"248","House of Blues",2023-10-26,"All Get Out","40YwbT9WnYAkFgBSYtHGQj"
"249","Bottom Lounge",2023-10-26,"Nai Palm","5X0dCi2aVnYEV27S8wgQdF"
"250","Metro",2023-10-26,"Clown Core","6mtABo05yeYtPftYEVfGoV"
"251","Radius",2023-10-27,"deadmau5","2CIMQHirSU0MQqyYHq0eOx"
"252","Radius",2023-10-27,"Spencer Brown","4L9PX6lwPWo2NeuXL9kyJK"
"253","The Riviera Theatre",2023-10-27,"Russell Dickerson","1E2AEtxaFaJtH0lO7kgNKw"
"254","The Riviera Theatre",2023-10-27,"Restless Road","5XLWHp9tjK7PWm7SMcvo2q"
"255","Bottom Lounge",2023-10-27,"IDK","6aiFCgyKNwF9Rv5TOxnE8E"
"256","The Vic Theatre",2023-10-27,"Roosevelt","4AQrqVz6BYwy29iMxcGtx7"
"257","The Vic Theatre",2023-10-27,"Touch Sensitive","2OC53Inn0G9QwWM7CM0G5Z"
"258","Chop Shop",2023-10-27,"Electric Six","4xNadaO5ZZLVJdqDIVVIua"
"259","Metro",2023-10-27,"Neil Frances","587PA35pRGL1JwQr6idJbb"
"260","Schubas",2023-10-27,"Milly","7kXCcNRLEnblbTAppPraBp"
"261","Schubas",2023-10-27,"Dearly Somber","2zpjCn1057VSMxzN6JHclH"
"262","Schubas",2023-10-27,"Rocket","6TMJgSdBIPPtQJbAB8yPpO"
"263","Park West",2023-10-27,"Michael McDermott","6fqXoFLlBDM3exihRtUQsx"
"264","Byline Bank Aragon Ballroom",2023-10-28,"Tinashe","0NIIxcxNHmOoyBx03SfTCD"
"265","Byline Bank Aragon Ballroom",2023-10-28,"Shygirl","3M3wTTCDwicRubwMyHyEDy"
"266","Byline Bank Aragon Ballroom",2023-10-28,"UNIIQU3","5aR8qSaApKChlZvzB0Jfpx"
"267","The Vic Theatre",2023-10-28,"Kings of Convenience","41AbNVba2ccpmcc9QtOJE7"
"268","The Riviera Theatre",2023-10-28,"Flo Milli","08PvCOlef4xdOr20jFSTPd"
"269","The Riviera Theatre",2023-10-28,"Maiya The Don","6S6u5pS5ywg7rv50rhpobQ"
"270","Lincoln Hall",2023-10-28,"grentperez","73BLwSX6gsNeVzS7DgI4xe"
"271","Bottom Lounge",2023-10-28,"Games We Play","4yP4eYthbuCNIcoQtqwj40"
"272","Bottom Lounge",2023-10-28,"Ultra Q","57JelvPHs2P6BROjeHhHZ3"
"273","Chop Shop",2023-10-28,"Łaszewo","6jxGLrn1I14RIeRYodOpLN"
"274","Concord Music Hall",2023-10-28,"Joe Kay","53ZQc2LGjVFkhzbC6zBggA"
"275","Concord Music Hall",2023-10-28,"Jared Jackson","6xPRmN9jg4Vq3hOQkhmvDt"
"276","House of Blues",2023-10-28,"CircuitMOM",NA
"277","Byline Bank Aragon Ballroom",2023-10-29,"Karan Aujla","6DARBhWbfcS9E4yJzcliqQ"
"278","Byline Bank Aragon Ballroom",2023-10-29,"Ikky","3nqS8jzqmsPKFJTp0BOIel"
"279","The Vic Theatre",2023-10-29,"Faye Webster","5szilpXHcwOqnyKLqGco5j"
"280","The Vic Theatre",2023-10-29,"Upchuck","7mhCgHESQzEKKyWshkMTwW"
"281","Bottom Lounge",2023-10-29,"Mike Dimes","6rIaHuCIUu32uj2CjlEBN3"
"282","Bottom Lounge",2023-10-29,"Dro Kenji","46fHMu9KxdQwcGV9xI1L9R"
"283","House of Blues",2023-10-29,"Between Friends","2HkSsS8O2U2gPhnCGVN5vn"
"284","House of Blues",2023-10-29,"Blaketheman1000","0QrLOWMTGOF7Vwb3SAhf3I"
"285","Lincoln Hall",2023-10-29,"Slow Magic","3htNAy3vYWWYV8RZFeyRMT"
